t,ra,dec,xi,eta,x,y,flag,q,col,row,flat,scale,response
772224767.335,242.367404498602,53.6708330583045,6725.909,-14979.33,9833.988,-21071.04,0,12.0,512.0985,150.3445,0.8089164,1.0296780915525527,0.8329234846212333
772224767.42,242.369564317849,53.6733786337732,6627.843,-15010.9,9694.403,-21127.08,0,13.0,510.46405,149.81834,0.83424723,1.0296780915073995,0.8590060971592203
772224772.49,242.363726402731,53.6740121399006,6612.721,-14954.26,9666.979,-21043.02,0,11.0,510.21204,150.76234,0.857125,1.0296780888141304,0.882562815672182
772224774.195,242.363839305825,53.6728190072593,6643.371,-14986.17,9669.967,-21099.06,0,14.0,510.72284,150.2305,0.857125,1.029678087908406,0.882562814895863
772224807.82,242.371389352063,53.6738677650777,6131.417,-15242.32,8972.48,-21505.35,0,13.0,502.1903,145.96133,0.8015531,1.029678070046244,0.8253416187186189
772224810.355,242.369755132929,53.671742260053,6178.508,-15199.24,9028.385,-21379.26,0,13.0,502.97513,146.67934,0.83972955,1.0296780686996096,0.8646510987004256
772224818.715,242.368651634478,53.6709040086366,6131.629,-15077.59,8955.428,-21281.19,0,12.0,502.19385,148.70685,0.8442409,1.0296780642586385,0.8692963396487312
772224818.955,242.368903754741,53.6722989350502,6079.853,-15072.33,8878.955,-21197.13,0,13.0,501.3309,148.79451,0.8311913,1.0296780641311467,0.8558594500924179
772224822.875,242.36931444386,53.6735331095429,6019.974,-15016.25,8746.489,-21127.08,0,15.0,500.33292,149.72919,0.83929324,1.0296780620487773,0.8642018383992363
772224843.085,242.366417053375,53.6715199306622,6213.203,-14688.07,9073.829,-20748.81,0,8.0,503.5534,155.19884,0.8412431,1.0296780513128891,0.866209543784952
772224858.44,242.367109955688,53.6726386738695,6400.505,-14638.54,9309.577,-20636.73,0,9.0,506.6751,156.02434,0.8241675,1.0296780431560582,0.8486271683416963
772224862.69,242.36907278831,53.6709377853314,6523.766,-14703.6,9534.073,-20692.77,0,10.0,508.72946,154.94,0.8334874,1.0296780408983877,0.8582236643642552
772224867.91,242.36652748827,53.6731073931864,6530.335,-14682.51,9544.357,-20734.8,0,10.0,508.83893,155.2915,0.82049716,1.0296780381254371,0.8448479010430413
772224869.475,242.370312548416,53.673441415869,6528.505,-14774.11,9512.274,-20804.85,0,21.0,508.8084,153.76482,0.8329604,1.0296780372940832,0.8576810574186892
772224890.315,242.369056557273,53.6733975816413,6677.144,-15040.5,9764.195,-21169.11,0,11.0,511.28574,149.32498,0.83744395,1.0296780262235306,0.8622976312353627
772224917.015,242.372612678843,53.6740216833226,6335.849,-15336.23,9217.019,-21589.41,0,14.0,505.5975,144.39616,0.8569338,1.0296780120400502,0.8823658633836123
772224927.05,242.369088625785,53.6711389111877,6277.654,-15229.99,9176.232,-21519.36,0,6.0,504.62756,146.16682,0.81419075,1.0296780067092928,0.8383543037569499
772224929.595,242.368705355873,53.6742051789275,6131.228,-15180.53,8958.592,-21351.24,0,18.0,502.18716,146.99115,0.83972955,1.029678005357347,0.8646510455100561
772224929.71,242.363969589709,53.6721550664081,6219.104,-15091.77,9066.182,-21239.16,0,12.0,503.6517,148.47049,0.8395431,1.029678005296257,0.8644590688637983
772224933.465,242.37008145277,53.6724253050755,6137.839,-15175.61,8964.745,-21435.3,0,10.0,502.2973,147.07318,0.8439061,1.0296780033015391,0.868951552722126
772224938.17,242.36915562712,53.6723483456834,6100.761,-15095.77,8915.697,-21253.17,0,10.0,501.67932,148.40384,0.8311913,1.029678000802166,0.85585939745392
772224945.225,242.364909199561,53.6731872115382,6060.558,-14884.14,8824.721,-20958.96,0,12.0,501.00928,151.931,0.83492637,1.029677997054434,0.859705309060769
772224951.695,242.369634017999,53.6718577061152,6110.375,-14890.24,8887.657,-20972.97,0,14.0,501.8396,151.82935,0.83492637,1.0296779936174638,0.8597053061911519
772224956.785,242.372254848056,53.6729456821621,6097.453,-14867.87,8906.907,-20930.94,0,11.0,501.6242,152.20218,0.84515977,1.0296779909135725,0.8702424130048546
772224967.0,242.37084648563,53.6733246643222,6215.969,-14716.85,9078.576,-20706.78,0,14.0,503.5995,154.7192,0.8415594,1.029677985487197,0.8665351980546346
772224983.11,242.36899541651,53.673325387257,6486.1,-14673.72,9484.938,-20636.73,0,11.0,508.10165,155.43802,0.82049716,1.0296779769293012,0.8448478508317858
